"","date","IsDustyDay"
"1",20191201,0
"2",20191130,0
"3",20191124,0
"4",20191123,0
"5",20191117,0
"6",20191116,0
"7",20191110,0
"8",20191109,0
"9",20191103,1
"10",20191102,1
"11",20191027,0
"12",20191026,0
"13",20191020,0
"14",20191019,0
"15",20191013,0
"16",20191012,0
"17",20191006,0
"18",20191005,0
"19",20190929,0
"20",20190928,0
"21",20190922,0
"22",20190921,0
"23",20190915,0
"24",20190914,0
"25",20190901,0
"26",20190831,0
"27",20190825,0
"28",20190824,0
"29",20190818,0
"30",20190817,0
"31",20190811,0
"32",20190810,0
"33",20190804,0
"34",20190803,0
"35",20190728,0
"36",20190727,0
"37",20190721,0
"38",20190720,0
"39",20190714,0
"40",20190713,0
"41",20190707,0
"42",20190706,0
"43",20190630,0
"44",20190629,0
"45",20190623,0
"46",20190622,0
"47",20190616,0
"48",20190615,0
"49",20190609,0
"50",20190608,0
"51",20190602,0
"52",20190601,0
"53",20190526,0
"54",20190525,1
"55",20190519,0
"56",20190518,0
"57",20190512,1
"58",20190511,1
"59",20190505,1
"60",20190504,1
"61",20190428,0
"62",20190427,0
"63",20190421,0
"64",20190420,0
"65",20190414,0
"66",20190413,0
"67",20190407,0
"68",20190406,1
"69",20190331,0
"70",20190330,0
"71",20190324,0
"72",20190323,0
"73",20190303,1
"74",20190302,1
"75",20190224,1
"76",20190223,1
"77",20190217,0
"78",20190216,1
"79",20190210,0
"80",20190209,0
"81",20190203,0
"82",20190202,1
"83",20190127,0
"84",20190126,0
"85",20190120,1
"86",20190119,1
"87",20190113,1
"88",20190112,1
"89",20190106,1
"90",20190105,1
"91",20181230,0
"92",20181229,0
"93",20181223,1
"94",20181222,1
"95",20181216,1
"96",20181215,1
"97",20181209,0
"98",20181208,0
